iter	MAE
156	38837.42463
157	38826.24185
158	38822.80885
159	38818.70728
160	38812.74963
161	38805.79947
162	38793.81685
163	38788.41543
164	38782.41782
165	38760.1706
166	38754.91781
167	38735.81526
168	38721.84713
169	38717.82007
170	38714.79941
171	38702.16887
172	38690.48822
173	38686.80315
174	38679.56823
175	38673.40949
176	38668.41367
177	38654.6323
178	38649.52922
179	38633.84304
180	38629.09155
181	38616.69226
182	38607.74647
183	38598.93144
184	38589.60334
185	38578.57342
186	38561.83075
187	38550.82997
188	38534.68558
189	38525.98728
190	38502.90965
191	38489.3306
192	38475.27367
193	38464.14432
194	38453.11146
195	38425.91605
196	38419.91833
197	38399.76731
198	38390.27742
199	38381.97818
200	38363.85358
201	38352.05206
202	38336.49691
203	38326.65967
204	38315.62988
205	38295.27004
206	38283.77948
207	38268.08994
208	38256.24874
209	38240.72312
210	38221.08245
211	38205.87263
212	38188.13392
213	38182.48481
214	38175.68468
215	38166.13539
216	38138.57539
217	38129.20972
218	38116.81137
219	38086.07054
220	38068.3312
221	38042.71151
222	38027.93081
223	38005.03463
224	37985.11969
225	37965.69461
226	37952.24962
227	37931.74134
228	37906.18248
229	37891.71789
230	37870.15826
231	37849.04502
232	37833.52927
233	37816.47144
234	37794.44216
235	37772.33417
236	37752.47297
237	37743.46495
238	37715.27796
239	37699.76903
240	37686.47978
241	37669.03309
242	37652.35744
243	37630.74075
244	37609.95071
245	37586.8902
246	37568.22874
247	37546.44841
248	37536.74107
249	37515.09858
250	37506.41543
251	37487.5045
252	37472.40318
253	37462.46657
254	37447.18653
255	37425.99228
256	37408.87289
257	37380.1568
258	37366.88595
259	37356.83095
260	37344.1236
261	37319.64911
262	37305.32141
263	37292.19715
264	37279.00174
265	37258.96731
266	37234.52552
267	37210.48429
268	37178.3465
269	37162.51555
270	37152.44792
271	37140.42935
272	37132.80614
273	37114.43309
274	37103.18343
275	37098.37776
276	37090.7368
277	37083.05979
278	37072.41151
279	37061.8269
280	37042.02975
281	37021.74771
282	37010.91727
283	36998.91215
284	36978.81503
285	36966.60004
286	36959.96596
287	36936.66782
288	36932.52225
289	36914.74198
290	36906.44782
291	36895.67795
292	36883.99485
293	36878.52799
294	36858.88196
295	36849.93026
296	36844.55313
297	36832.04259
298	36819.1274
299	36809.77038
300	36803.51829
301	36796.341
302	36787.57417
303	36774.98874
304	36759.12839
305	36736.62448
306	36719.69688
307	36711.99349
308	36705.95148
309	36697.03545
310	36690.59998
311	36658.07916
312	36644.88609
313	36638.56614
314	36619.33138
315	36611.7012
316	36600.29944
317	36594.71127
318	36584.97813
319	36577.44661
320	36569.55327
321	36555.93785
322	36547.11623
323	36534.8155
324	36527.55575
325	36518.79468
326	36505.37947
327	36499.32612
328	36492.97845
329	36488.20176
330	36471.94003
331	36452.62129
332	36437.98407
333	36431.08525
334	36414.23753
335	36397.38027
336	36384.04438
337	36375.89136
338	36366.75955
339	36359.3335
340	36353.75522
341	36343.87797
342	36326.87122
343	36321.24334
344	36312.41341
345	36306.85532
346	36301.22547
347	36281.8309
348	36270.07421
349	36255.26952
350	36229.2929
351	36223.97334
352	36215.73935
353	36207.85698
354	36202.2987
355	36193.95335
356	36185.09747
357	36177.83483
358	36171.89571
359	36168.03397
360	36158.32682
361	36145.71794
362	36131.5915
363	36127.36738
364	36117.32841
365	36107.27563
366	36098.26861
367	36089.95567
368	36081.5307
369	36073.16575
370	36066.17836
371	36063.77436
372	36055.3292
373	36047.31868
374	36044.34399
375	36042.42607
376	36028.4831
377	36022.41913
378	36016.38231
379	36005.89554
380	35999.55798
381	35982.27451
382	35972.68185
383	35965.2565
384	35960.8344
385	35952.06632
386	35946.67494
387	35937.91225
388	35929.1417
389	35918.3945
390	35906.62665
391	35891.08627
392	35883.02385
393	35879.56605
394	35858.32806
395	35848.95891
396	35841.56753
397	35835.40544
398	35830.39024
399	35821.8737
400	35818.63512
401	35813.38864
402	35804.73792
403	35800.1429
404	35789.56811
405	35780.57555
406	35772.14684
407	35764.74616
408	35757.25258
409	35745.96613
410	35741.37481
411	35738.41742
412	35735.31294
413	35723.50807
414	35719.80659
415	35714.18302
416	35708.77429
417	35702.7835
418	35694.27972
419	35684.95274
420	35678.0821
421	35665.38262
422	35652.76573
423	35645.19153
424	35635.01051
425	35620.65873
426	35612.91208
427	35601.25192
428	35589.54848
429	35583.08411
430	35577.34105
431	35567.57831
432	35562.51251
433	35556.17402
434	35550.30267
435	35535.83347
436	35529.82448
437	35523.73325
438	35517.46873
439	35509.05099
440	35506.21716
441	35503.86767
442	35498.78994
443	35491.12103
444	35484.49159
445	35479.88959
446	35469.49277
447	35465.6395
448	35460.65217
449	35457.41007
450	35453.10071
451	35442.95214
452	35437.93534
453	35425.89914
454	35424.36165
455	35420.74671
456	35415.94188
457	35413.30951
458	35398.48954
459	35393.99053
460	35391.86637
461	35388.67237
462	35381.67574
463	35377.29491
464	35370.22952
465	35364.58317
466	35359.85242
467	35357.11187
468	35355.15664
469	35353.34231
470	35349.14735
471	35341.9736
472	35332.18144
473	35327.19088
474	35319.34892
475	35316.81098
476	35312.46213
477	35304.46385
478	35297.46652
479	35295.66713
480	35293.53891
481	35287.26795
482	35282.81421
483	35277.88374
484	35273.58984
485	35264.64115
486	35260.90198
487	35257.10013
488	35253.78269
489	35248.44511
490	35244.31663
491	35229.25661
492	35222.15871
493	35219.80453
494	35216.57644
495	35211.42134
496	35207.23346
497	35202.5825
498	35196.17431
499	35188.59775
500	35185.65194
501	35173.85273
502	35166.37723
503	35164.92995
504	35158.79346
505	35147.06077
506	35144.12822
507	35135.09653
508	35129.20692
509	35124.69047
510	35120.41738
511	35109.51697
512	35104.1146
513	35100.07674
514	35095.09769
515	35081.89625
516	35076.81652
517	35072.49276
518	35064.3773
519	35061.45768
520	35057.53046
521	35056.07374
522	35051.71725
523	35048.46948
524	35040.90012
525	35037.11796
526	35034.85847
527	35033.80002
528	35029.85434
529	35026.05248
530	35013.90355
531	35012.91944
532	35000.36144
533	34997.78663
534	34992.02252
535	34986.14457
536	34979.8554
537	34978.02286
538	34974.92173
539	34970.98973
540	34951.74097
541	34948.46948
542	34941.98437
543	34936.74129
544	34934.48753
545	34932.79633
546	34917.57506
547	34911.89899
548	34908.19816
549	34904.83356
550	34895.81086
551	34891.2713
552	34887.47411
553	34885.7837
554	34882.12307
555	34880.3208
556	34869.71505
557	34865.08594
558	34854.45571
559	34850.25896
560	34847.39462
561	34844.75141
562	34842.20443
563	34836.60712
564	34834.14883
565	34830.51568
566	34826.02258
567	34820.53271
568	34818.38508
569	34817.15171
570	34812.71225
571	34811.21047
572	34802.61723
573	34799.79182
574	34796.15805
575	34791.97626
576	34791.07056
577	34779.59256
578	34774.45222
579	34763.05334
580	34752.98944
581	34748.93707
582	34744.44965
583	34741.97905
584	34738.84616
585	34735.30555
586	34733.31546
587	34729.0501
588	34724.77635
589	34711.67902
590	34704.55139
591	34701.2099
592	34698.01838
593	34678.64524
594	34671.42873
595	34652.37758
596	34648.05923
597	34644.27713
598	34642.13347
599	34636.64572
600	34625.93446
601	34623.33695
602	34614.89
603	34611.69444
604	34609.25202
605	34605.6876
606	34601.90246
607	34600.72541
608	34592.65689
609	34590.2558
610	34582.80148
611	34577.74584
612	34572.65789
613	34569.06015
614	34557.50912
615	34550.94488
616	34543.0139
617	34532.28869
618	34527.35718
619	34522.6321
620	34521.76524
621	34519.32513
622	34515.17257
623	34513.13367
624	34503.88057
625	34499.96234
626	34493.6982
627	34484.34494
628	34480.28593
629	34478.48478
630	34476.04469
631	34469.4048
632	34468.13597
633	34456.61149
634	34452.76008
635	34443.22343
636	34441.65174
637	34433.03836
638	34432.02693
639	34430.22321
640	34426.60882
641	34422.83228
642	34414.16988
643	34408.08064
644	34406.3932
645	34391.85902
646	34385.94771
647	34380.95456
648	34373.30414
649	34371.2726
650	34365.10092
651	34361.29664
652	34359.01844
653	34351.67958
654	34350.98834
655	34350.04102
656	34345.4203
657	34337.49446
658	34335.44154
659	34330.73504
660	34325.92831
661	34321.68581
662	34317.40167
663	34315.22763
664	34311.65988
665	34306.25131
666	34299.18176
667	34294.9544
668	34293.31324
669	34289.74321
670	34285.70729
671	34283.04357
672	34281.74606
673	34279.54521
674	34277.67477
675	34275.25015
676	34271.69816
677	34269.87138
678	34268.48338
679	34265.62177
680	34263.66542
681	34261.55906
682	34260.7263
683	34258.55917
684	34251.49846
685	34250.23305
686	34246.86416
687	34233.37215
688	34231.6327
689	34220.40408
690	34218.79013
691	34214.3968
692	34212.30458
693	34211.36807
694	34206.67394
695	34206.39642
696	34205.46799
697	34203.5705
698	34201.80691
699	34199.26967

01743
