iter	RMSE
487	50146.6476
488	50143.51449
489	50138.26206
490	50135.28713
491	50115.64299
492	50090.63286
493	50082.45745
494	50075.24996
495	50063.50567
496	50048.84995
497	50031.24125
498	50024.57022
499	50018.68101
500	50016.54276
501	50007.88155
502	49998.93414
503	49996.2113
504	49990.80161
505	49981.93396
506	49978.60422
507	49968.32952
508	49960.4134
509	49951.26529
510	49949.09193
511	49939.08656
512	49927.334
513	49921.56088
514	49902.93306
515	49891.02313
516	49879.74908
517	49856.59293
518	49854.44555
519	49851.41796
520	49845.27472
521	49841.87159
522	49833.94311
523	49830.94501
524	49828.85149
525	49807.70023
526	49780.5028
527	49771.4254
528	49769.34865
529	49761.08282
530	49759.02586
531	49756.01268
532	49748.17703
533	49744.77945
534	49715.48353
535	49713.46376
536	49702.63737
537	49699.49387
538	49670.68556
539	49664.32873
540	49656.9991
541	49651.31644
542	49627.21213
543	49621.13833
544	49612.76496
545	49604.4036
546	49601.60465
547	49597.26711
548	49587.85948
549	49585.13542
550	49578.76964
551	49576.85706
552	49573.67266
553	49571.03401
554	49568.14461
555	49553.49359
556	49548.93439
557	49547.0622
558	49542.68078
559	49523.26913
560	49520.02489
561	49513.80682
562	49511.95968
563	49509.38568
564	49491.21002
565	49488.55043
566	49485.64598
567	49482.83252
568	49480.45447
569	49459.45819
570	49453.49359
571	49451.37982
572	49438.20666
573	49436.43261
574	49417.36325
575	49401.38716
576	49390.42544
577	49383.59534
578	49375.26811
579	49372.95349
580	49369.04241
581	49359.89405
582	49356.04011
583	49353.42628
584	49343.13888
585	49326.65256
586	49324.08535
587	49320.82396
588	49315.0794
589	49309.91378
590	49302.11251
591	49300.22731
592	49277.73589
593	49273.75856
594	49265.66343
595	49258.95311
596	49253.77025
597	49246.63368
598	49243.74196
599	49226.43524
600	49222.45689
601	49214.67484
602	49210.91099
603	49207.65722
604	49205.02591
605	49196.5127
606	49180.33322
607	49177.38195
608	49168.16534
609	49163.82256
610	49155.91273
611	49152.2986
612	49149.94807
613	49147.57641
614	49128.24374
615	49126.56977
616	49123.02702
617	49118.76444
618	49109.19052
619	49094.96167
620	49087.06606
621	49080.33208
622	49078.11743
623	49075.76639
624	49073.40535
625	49066.84165
626	49059.14187
627	49054.72655
628	49052.57136
629	49046.53148
630	49041.70165
631	49039.53779
632	49036.73599
633	49033.25755
634	49029.01694
635	49020.41701
636	49002.91765
637	48996.85057
638	48995.2182
639	48984.60643
640	48982.9877
641	48976.95184
642	48975.28692
643	48971.99796
644	48966.0656
645	48949.25347
646	48927.64114
647	48911.36704
648	48894.89823
649	48891.98295
650	48889.15419
651	48878.9576
652	48862.23036
653	48859.07387
654	48856.74952
655	48854.252
656	48837.88874
657	48831.59762
658	48826.6324
659	48823.98058
660	48820.62838
661	48819.04798
662	48810.47848
663	48805.08635
664	48799.79917
665	48792.91328
666	48776.82024
667	48769.41999
668	48762.70208
669	48761.13294
670	48752.91909
671	48750.51427
672	48747.88352
673	48745.77428
674	48741.4736
675	48734.43704
676	48728.30501
677	48721.98742
678	48718.87103
679	48711.09137
680	48705.78184
681	48698.18223
682	48691.6092
683	48690.11853
684	48684.53888
685	48682.60365
686	48677.95459
687	48672.474
688	48670.23388
689	48657.71164
690	48653.40565
691	48648.00635
692	48642.97972
693	48638.69161
694	48637.11555
695	48633.7409
696	48630.59638
697	48628.39137
698	48623.76119
699	48610.07896
700	48605.10382
701	48601.96047
702	48599.3704
703	48597.86377
704	48593.17715
705	48591.01308
706	48588.82171
707	48586.10856
708	48581.49735
709	48576.88769
710	48574.28919
711	48569.04616
712	48566.56521
713	48559.47215
714	48556.07537
715	48542.41095
716	48537.736
717	48536.25608
718	48531.77129
719	48525.03429
720	48510.90064
721	48496.5881
722	48493.21908
723	48491.65631
724	48490.26827
725	48487.45141
726	48475.40064
727	48471.09256
728	48466.05697
729	48461.66643
730	48459.24008
731	48455.03468
732	48449.87207
733	48448.42414
734	48446.33655
735	48432.51044
736	48417.85605
737	48415.94245
738	48412.65669
739	48401.80308
740	48397.43171
741	48393.66231
742	48387.07673
743	48385.37543
744	48375.14917
745	48372.58601
746	48371.08939
747	48356.54317
748	48354.06684
749	48346.90515
750	48345.49313
751	48326.74962
752	48324.51022
753	48322.22541
754	48311.75693
755	48306.49297
756	48301.2773
757	48289.47357
758	48286.22474
759	48283.5578
760	48281.15985
761	48277.74993
762	48275.47701
763	48274.08711
764	48270.31443
765	48261.84437
766	48253.48582
767	48247.67773
768	48243.42164
769	48239.97014
770	48234.93933
771	48232.51974
772	48231.0938
773	48218.85878
774	48210.61969
775	48202.13445
776	48197.24728
777	48191.82034
778	48186.71832
779	48180.97515
780	48179.60021
781	48175.19344
782	48173.28803
783	48171.29473
784	48170.00338
785	48167.77296
786	48165.41867
787	48161.92595
788	48159.65633
789	48156.23998
790	48154.19476
791	48152.85081
792	48150.49627
793	48144.85152
794	48135.26791
795	48130.14863
796	48128.81479
797	48127.49167
798	48122.7394
799	48103.46587
